director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
"
史蒂文·斯皮尔伯格StevenSpielberg",398394人评价,美利坚精神输出大片No1., 汤姆·汉克斯 Tom Hanks...,拯救大兵瑞恩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,"
                                                  1998                  ",9,71,美国剧情 历史 战争
"
赛尔乔·莱翁内SergioLeone",265756人评价,往事如烟，无处祭奠。, 罗伯特·德尼罗 Robert De Niro ...,美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,"
                                                   1984                  ",9.2,72,美国 意大利犯罪 剧情
"
罗伯特·怀斯RobertWise",368388人评价,用音乐化解仇恨，让歌声串起美好。, 朱莉·安德鲁斯 Julie Andrews / 克...,音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,"
                            
                            1965                ",9,73,美国剧情 传记 爱情 歌舞
"
文牧野MuyeWen",1286545人评价,对我们国家而言，这样的电影多一部是一部。, 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,"
                            
                            2018
                        ",9,74,中国大陆剧情 喜剧
"
克里斯托弗·诺兰ChristopherNolan",530721人评价,孪生蝙蝠侠大战克隆金刚狼。, 休·杰克曼 Hugh Jackman...,致命魔术,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,"
                                                    2006                   ",8.8,75,美国 英国剧情 悬疑 惊悚
"
大卫·芬奇DavidFincher",627939人评价,警察抓小偷，老鼠玩死猫。, 摩根·弗里曼 Morgan Freeman / 布...,七宗罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,"
                            
                            1995               ",8.8,76,美国剧情 犯罪 悬疑 惊悚
"
昆汀·塔伦蒂诺QuentinTarantino",530666人评价,故事的高级讲法。, 约翰·特拉沃尔塔 John Tra...,低俗小说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,"
 
                            1994
                        ",8.8,77,美国剧情 喜剧 犯罪
"
马克·赫尔曼MarkHerman",288651人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。, 阿萨·巴特菲尔德 Asa Butterfield ...,穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,"
                            
                            2008
                        ",9.1,78,英国 美国剧情 战争
"
中岛哲也TetsuyaNakashima",476150人评价,以戏谑来戏谑戏谑。, 中谷美纪 Miki Nakatani / 瑛太 E...,被嫌弃的松子的一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,"
   
                            2006
                        ",8.9,79,日本剧情 歌舞
"
乔纳森·戴米JonathanDemme",529492人评价,安东尼·霍普金斯的顶级表演。, 朱迪·福斯特 Jodie Foster / 安...,沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,"
                                                 1991
                        ",8.8,80,美国剧情 犯罪 惊悚
"
埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber",583645人评价,人的命运被自己瞬间的抉择改变。, 主...,蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,"
                            
                            2004              ",8.8,81,"美国 加拿大剧情 悬疑 科幻 惊悚
          "
"
王家卫KarWaiWong",394459人评价,爱情纠缠，男女一致。, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,"
                                                 1997                  ",8.9,82,中国香港 日本 韩国剧情 爱情 同性
"
格斯·范·桑特GusVanSant",431900人评价,人生中应该拥有这样的一段豁然开朗。, 马特·达蒙 Matt Damon / 罗宾·..,心灵捕手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,"
                            
                            1997
                        ",8.9,83,美国剧情
"
MartinScorsese",577168人评价,昔日翩翩少年，今日大腹便便。, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,"
                                                  2010
                        ",8.8,84,美国剧情 悬疑 惊悚
"
梅尔·吉布森MelGibson",407390人评价,史诗大片的典范。, 梅尔·吉布森 Mel Gibson / 苏菲·玛...,勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,"
                                                 1995                   ",8.9,85,美国动作 传记 剧情 历史 战争
"
蒂姆·波顿TimBurton",715132人评价,浪漫忧郁的成人童话。, 约翰尼·德普 Johnny Depp / 薇诺娜·...,剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                            
                            1990
                        ",8.7,86,美国剧情 奇幻 爱情
"
韦斯·安德森WesAnderson",540715人评价,小清新的故事里注入了大历史的情怀。, 拉尔夫·费因斯 Ralph Fiennes / ...,布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,"
                            2014            ",8.8,87,"美国 德国 英国剧情 喜剧 冒险
            "
"
让-皮埃尔·热内Jean-PierreJeunet",692309人评价,法式小清新。 , 奥黛丽·塔图 Audrey Tau...,天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,"
                                                 2001                   ",8.7,88,法国 德国喜剧 爱情
"
詹姆斯·卡梅隆JamesCameron",841604人评价,绝对意义上的美轮美奂。, 萨姆·沃辛顿 Sam Worthington ...,阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,"
                            
                            2009
                        ",8.7,89,美国 英国动作 科幻 冒险
"
查理·卓别林CharlesChaplin",165275人评价,大时代中的人生，小人物的悲喜。, 查理·卓别林 Charles Chaplin ...,摩登时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,"

                            1936            ",9.3,90,"?美国剧情 喜剧 爱情
           "
"
戈尔·维宾斯基GoreVerbinski",556092人评价,约翰尼·德普的独角戏。, 约翰尼·德普 Johnny Depp / ...,加勒比海盗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,"
                            
                            2003
                        ",8.7,91,美国动作 冒险 奇幻
